stock_code,company_name,total_records,match_count,mismatch_count,missing_count,match_rate,unit_error_count,value_error_count,shareholder_name_mismatch_count,date_mismatch_count,price_mismatch_count,section_not_found_count,event_not_recognized_count,table_parse_failed_count,mixed_paragraph_count,no_source_data_count,key_issues
001282,三联锻造,360,6,338,16,1.7,0,11,10,13,1,0,16,0,0,0,日期不匹配（13条，3.6%）；事件未识别（16条）
301563,云汉芯城,1717,7,1628,82,0.4,0,55,34,35,21,0,82,0,0,0,数值计算偏差（55条，3.2%）；事件未识别（82条）
301581,黄山谷捷,338,0,274,64,0.0,0,4,3,3,3,0,64,0,0,0,数值计算偏差（4条，1.2%）；事件未识别（64条）
603418,友升股份,402,1,395,6,0.2,0,26,13,13,12,0,6,0,0,0,数值计算偏差（26条，6.5%）；事件未识别（6条）
688758,赛分科技,2047,0,1780,267,0.0,3,17,10,2,0,0,267,0,0,0,数值计算偏差（17条，0.8%）；事件未识别（267条）
688775,影石创新,808,0,780,28,0.0,0,0,0,0,0,16,12,0,0,0,章节定位失败（16条）
920100,三协电机,367,3,341,23,0.8,0,34,17,17,14,0,23,0,0,0,数值计算偏差（34条，9.3%）；事件未识别（23条）
920116,星图测控,221,10,178,33,4.5,0,6,6,6,2,0,33,0,0,0,数值计算偏差（6条，2.7%）；事件未识别（33条）
