公司名称,股票代码,板块,公告标题,公告时间,文件名,文件大小(MB),页码数,文件路径,下载时间,年份
昂瑞微,688790,沪市主板,昂瑞微首次公开发行股票并在科创板上市招股说明书,2025-12-11 00:00:00,昂瑞微_688790_2025-12-11_昂瑞微首次公开发行股票并在科创板上市招股说明书.pdf,15.46,496,data/scratch_results/昂瑞微_688790_2025-12-11_昂瑞微首次公开发行股票并在科创板上市招股说明书.pdf,2026-05-27 22:54:02,2025
沐曦股份,688802,沪市主板,沐曦股份首次公开发行股票并在科创板上市招股说明书,2025-12-11 00:00:00,沐曦股份_688802_2025-12-11_沐曦股份首次公开发行股票并在科创板上市招股说明书.pdf,10.13,523,data/scratch_results/沐曦股份_688802_2025-12-11_沐曦股份首次公开发行股票并在科创板上市招股说明书.pdf,2026-05-27 22:54:03,2025
元创股份,001325,深市主板,首次公开发行股票并在主板上市招股说明书,2025-12-05 00:00:00,元创股份_001325_2025-12-05_首次公开发行股票并在主板上市招股说明书.pdf,5.13,369,data/scratch_results/元创股份_001325_2025-12-05_首次公开发行股票并在主板上市招股说明书.pdf,2026-05-27 22:54:04,2025
百奥赛图,688796,沪市主板,百奥赛图首次公开发行股票并在科创板上市招股说明书,2025-12-04 00:00:00,百奥赛图_688796_2025-12-04_百奥赛图首次公开发行股票并在科创板上市招股说明书.pdf,9.98,600,data/scratch_results/百奥赛图_688796_2025-12-04_百奥赛图首次公开发行股票并在科创板上市招股说明书.pdf,2026-05-27 22:54:04,2025
摩尔线程,688795,沪市主板,摩尔线程首次公开发行股票并在科创板上市招股说明书,2025-11-28 00:00:00,摩尔线程_688795_2025-11-28_摩尔线程首次公开发行股票并在科创板上市招股说明书.pdf,12.11,466,data/scratch_results/摩尔线程_688795_2025-11-28_摩尔线程首次公开发行股票并在科创板上市招股说明书.pdf,2026-05-27 22:54:05,2025
中国铀业,001280,深市主板,首次公开发行股票并在主板上市招股说明书,2025-11-27 00:00:00,中国铀业_001280_2025-11-27_首次公开发行股票并在主板上市招股说明书.pdf,11.64,568,data/scratch_results/中国铀业_001280_2025-11-27_首次公开发行股票并在主板上市招股说明书.pdf,2026-05-27 22:54:06,2025
海安集团,001233,深市主板,首次公开发行股票并在主板上市招股说明书,2025-11-20 00:00:00,海安集团_001233_2025-11-20_首次公开发行股票并在主板上市招股说明书.pdf,7.41,413,data/scratch_results/海安集团_001233_2025-11-20_首次公开发行股票并在主板上市招股说明书.pdf,2026-05-27 22:54:07,2025
精创电气,920035,新三板,招股说明书,2025-11-14 00:00:00,精创电气_920035_2025-11-14_招股说明书.pdf,7.31,451,data/scratch_results/精创电气_920035_2025-11-14_招股说明书.pdf,2026-05-27 22:54:08,2025
恒坤新材,688727,沪市主板,恒坤新材首次公开发行股票并在科创板上市招股说明书,2025-11-13 00:00:00,恒坤新材_688727_2025-11-13_恒坤新材首次公开发行股票并在科创板上市招股说明书.pdf,7.22,403,data/scratch_results/恒坤新材_688727_2025-11-13_恒坤新材首次公开发行股票并在科创板上市招股说明书.pdf,2026-05-27 22:54:09,2025
彩客科技,920206,新三板,招股说明书,2026-05-25 00:00:00,彩客科技_920206_2026-05-25_招股说明书.pdf,5.69,346,data/scratch_results/彩客科技_920206_2026-05-25_招股说明书.pdf,2026-05-27 22:54:09,2026
