公司名称,股票代码,板块,文件名,页码数,时间,文件大小(MB),文件路径,年份
康冠科技,001308,深主板,001308_康冠科技_2022-03-07.pdf,240,2022-03-07,5.86,/Users/chenyuang/Desktop/巨潮网资料/2022/001308_康冠科技_2022-03-07.pdf,2022
富士莱,301258,创业板,301258_富士莱_2022-03-23.pdf,598,2022-03-23,10.66,/Users/chenyuang/Desktop/巨潮网资料/2022/301258_富士莱_2022-03-23.pdf,2022
佰维存储,688525,科创板,688525_佰维存储_2022-12-27.pdf,467,2022-12-27,12.94,/Users/chenyuang/Desktop/巨潮网资料/2022/688525_佰维存储_2022-12-27.pdf,2022
丰立智能,301368,创业板,301368_丰立智能_2022-12-09.pdf,458,2022-12-09,15.97,/Users/chenyuang/Desktop/巨潮网资料/2022/301368_丰立智能_2022-12-09.pdf,2022
鸿铭股份,301105,创业板,301105_鸿铭股份_2022-12-16.pdf,517,2022-12-16,6.96,/Users/chenyuang/Desktop/巨潮网资料/2022/301105_鸿铭股份_2022-12-16.pdf,2022
健康元,600380,沪主板,600380_健康元_2022-09-21.pdf,1,2022-09-21,0.2,/Users/chenyuang/Desktop/巨潮网资料/2022/600380_健康元_2022-09-21.pdf,2022
泰恩康,301263,创业板,301263_泰恩康_2022-03-24.pdf,850,2022-03-24,8.67,/Users/chenyuang/Desktop/巨潮网资料/2022/301263_泰恩康_2022-03-24.pdf,2022
通力科技,301255,创业板,301255_通力科技_2022-12-08.pdf,368,2022-12-08,8.74,/Users/chenyuang/Desktop/巨潮网资料/2022/301255_通力科技_2022-12-08.pdf,2022
阳光乳业,001318,深主板,001318_阳光乳业_2022-05-06.pdf,122,2022-05-06,2.37,/Users/chenyuang/Desktop/巨潮网资料/2022/001318_阳光乳业_2022-05-06.pdf,2022
中无人机,688297,科创板,688297_中无人机_2022-06-21.pdf,432,2022-06-21,6.31,/Users/chenyuang/Desktop/巨潮网资料/2022/688297_中无人机_2022-06-21.pdf,2022
艾布鲁,301259,创业板,301259_艾布鲁_2022-04-20.pdf,690,2022-04-20,6.46,/Users/chenyuang/Desktop/巨潮网资料/2022/301259_艾布鲁_2022-04-20.pdf,2022
耐科装备,688419,科创板,688419_耐科装备_2022-11-02.pdf,394,2022-11-02,5.23,/Users/chenyuang/Desktop/巨潮网资料/2022/688419_耐科装备_2022-11-02.pdf,2022
盟科药业,688373,科创板,688373_盟科药业_2022-08-02.pdf,422,2022-08-02,8.71,/Users/chenyuang/Desktop/巨潮网资料/2022/688373_盟科药业_2022-08-02.pdf,2022
联影医疗,688271,科创板,688271_联影医疗_2022-08-16.pdf,633,2022-08-16,9.93,/Users/chenyuang/Desktop/巨潮网资料/2022/688271_联影医疗_2022-08-16.pdf,2022
联翔股份,603272,沪主板,603272_联翔股份_2022-05-09.pdf,121,2022-05-09,3.24,/Users/chenyuang/Desktop/巨潮网资料/2022/603272_联翔股份_2022-05-09.pdf,2022
卡莱特,301391,创业板,301391_卡莱特_2022-11-28.pdf,379,2022-11-28,9.29,/Users/chenyuang/Desktop/巨潮网资料/2022/301391_卡莱特_2022-11-28.pdf,2022
铭科精技,001319,深主板,001319_铭科精技_2022-04-25.pdf,101,2022-04-25,2.33,/Users/chenyuang/Desktop/巨潮网资料/2022/001319_铭科精技_2022-04-25.pdf,2022
晶华微,688130,科创板,688130_晶华微_2022-07-26.pdf,346,2022-07-26,8.13,/Users/chenyuang/Desktop/巨潮网资料/2022/688130_晶华微_2022-07-26.pdf,2022
嘉曼服饰,301276,创业板,301276_嘉曼服饰_2022-09-05.pdf,634,2022-09-05,11.4,/Users/chenyuang/Desktop/巨潮网资料/2022/301276_嘉曼服饰_2022-09-05.pdf,2022
扬州金泉,603307,沪主板,603307_扬州金泉_2023-01-10.pdf,81,2023-01-10,1.6,/Users/chenyuang/Desktop/巨潮网资料/2023/603307_扬州金泉_2023-01-10.pdf,2023
华虹公司,688347,科创板,688347_华虹公司_2023-07-31.pdf,337,2023-07-31,5.82,/Users/chenyuang/Desktop/巨潮网资料/2023/688347_华虹公司_2023-07-31.pdf,2023
盘古智能,301456,创业板,301456_盘古智能_2023-07-10.pdf,356,2023-07-10,5.32,/Users/chenyuang/Desktop/巨潮网资料/2023/301456_盘古智能_2023-07-10.pdf,2023
永达股份,001239,深主板,001239_永达股份_2023-12-06.pdf,441,2023-12-06,8.48,/Users/chenyuang/Desktop/巨潮网资料/2023/001239_永达股份_2023-12-06.pdf,2023
国科军工,688543,科创板,688543_国科军工_2023-06-16.pdf,354,2023-06-16,9.56,/Users/chenyuang/Desktop/巨潮网资料/2023/688543_国科军工_2023-06-16.pdf,2023
科源制药,301281,创业板,301281_科源制药_2023-03-30.pdf,520,2023-03-30,10.87,/Users/chenyuang/Desktop/巨潮网资料/2023/301281_科源制药_2023-03-30.pdf,2023
金凯生科,301509,创业板,301509_金凯生科_2023-07-28.pdf,342,2023-07-28,7.79,/Users/chenyuang/Desktop/巨潮网资料/2023/301509_金凯生科_2023-07-28.pdf,2023
威迈斯,688612,科创板,688612_威迈斯_2023-07-21.pdf,543,2023-07-21,12.0,/Users/chenyuang/Desktop/巨潮网资料/2023/688612_威迈斯_2023-07-21.pdf,2023
纳睿雷达,688522,科创板,688522_纳睿雷达_2023-02-24.pdf,386,2023-02-24,3.36,/Users/chenyuang/Desktop/巨潮网资料/2023/688522_纳睿雷达_2023-02-24.pdf,2023
涛涛车业,301345,创业板,301345_涛涛车业_2023-03-14.pdf,724,2023-03-14,17.42,/Users/chenyuang/Desktop/巨潮网资料/2023/301345_涛涛车业_2023-03-14.pdf,2023
常青科技,603125,沪主板,603125_常青科技_2023-04-03.pdf,309,2023-04-03,8.97,/Users/chenyuang/Desktop/巨潮网资料/2023/603125_常青科技_2023-04-03.pdf,2023
中远通,301516,创业板,301516_中远通_2023-12-05.pdf,475,2023-12-05,6.64,/Users/chenyuang/Desktop/巨潮网资料/2023/301516_中远通_2023-12-05.pdf,2023
飞南资源,301500,创业板,301500_飞南资源_2023-09-15.pdf,768,2023-09-15,9.28,/Users/chenyuang/Desktop/巨潮网资料/2023/301500_飞南资源_2023-09-15.pdf,2023
乖宝宠物,301498,创业板,301498_乖宝宠物_2023-08-11.pdf,570,2023-08-11,30.28,/Users/chenyuang/Desktop/巨潮网资料/2023/301498_乖宝宠物_2023-08-11.pdf,2023
南矿集团,001360,深主板,001360_南矿集团_2023-04-04.pdf,520,2023-04-04,6.42,/Users/chenyuang/Desktop/巨潮网资料/2023/001360_南矿集团_2023-04-04.pdf,2023
宿迁联盛,603065,沪主板,603065_宿迁联盛_2023-02-16.pdf,654,2023-02-16,6.48,/Users/chenyuang/Desktop/巨潮网资料/2023/603065_宿迁联盛_2023-02-16.pdf,2023
龙迅股份,688486,科创板,688486_龙迅股份_2023-02-14.pdf,420,2023-02-14,8.71,/Users/chenyuang/Desktop/巨潮网资料/2023/688486_龙迅股份_2023-02-14.pdf,2023
真兰仪表,301303,创业板,301303_真兰仪表_2023-02-15.pdf,438,2023-02-15,6.17,/Users/chenyuang/Desktop/巨潮网资料/2023/301303_真兰仪表_2023-02-15.pdf,2023
英华特,301272,创业板,301272_英华特_2023-07-10.pdf,422,2023-07-10,5.9,/Users/chenyuang/Desktop/巨潮网资料/2023/301272_英华特_2023-07-10.pdf,2023
达利凯普,301566,创业板,301566_达利凯普_2023-12-26.pdf,381,2023-12-26,14.79,/Users/chenyuang/Desktop/巨潮网资料/2023/301566_达利凯普_2023-12-26.pdf,2023
华曙高科,688433,科创板,688433_华曙高科_2023-04-11.pdf,455,2023-04-11,7.89,/Users/chenyuang/Desktop/巨潮网资料/2023/688433_华曙高科_2023-04-11.pdf,2023
昊帆生物,301393,创业板,301393_昊帆生物_2023-07-07.pdf,425,2023-07-07,9.02,/Users/chenyuang/Desktop/巨潮网资料/2023/301393_昊帆生物_2023-07-07.pdf,2023
亚光股份,603282,沪主板,603282_亚光股份_2023-03-02.pdf,499,2023-03-02,11.95,/Users/chenyuang/Desktop/巨潮网资料/2023/603282_亚光股份_2023-03-02.pdf,2023
永太科技,002326,深主板,002326_永太科技_2023-07-07.pdf,2,2023-07-07,0.18,/Users/chenyuang/Desktop/巨潮网资料/2023/002326_永太科技_2023-07-07.pdf,2023
光大同创,301387,创业板,301387_光大同创_2023-04-12.pdf,453,2023-04-12,9.25,/Users/chenyuang/Desktop/巨潮网资料/2023/301387_光大同创_2023-04-12.pdf,2023
司南导航,688592,科创板,688592_司南导航_2023-08-09.pdf,368,2023-08-09,7.76,/Users/chenyuang/Desktop/巨潮网资料/2023/688592_司南导航_2023-08-09.pdf,2023
信宇人,688573,科创板,688573_信宇人_2023-08-11.pdf,416,2023-08-11,8.63,/Users/chenyuang/Desktop/巨潮网资料/2023/688573_信宇人_2023-08-11.pdf,2023
威力传动,300904,创业板,300904_威力传动_2023-08-04.pdf,365,2023-08-04,8.76,/Users/chenyuang/Desktop/巨潮网资料/2023/300904_威力传动_2023-08-04.pdf,2023
浙江荣泰,603119,沪主板,603119_浙江荣泰_2023-07-25.pdf,440,2023-07-25,10.05,/Users/chenyuang/Desktop/巨潮网资料/2023/603119_浙江荣泰_2023-07-25.pdf,2023
恒尚节能,603137,沪主板,603137_恒尚节能_2023-04-12.pdf,372,2023-04-12,10.43,/Users/chenyuang/Desktop/巨潮网资料/2023/603137_恒尚节能_2023-04-12.pdf,2023
东威科技,688700,科创板,688700_东威科技_2023-06-08.pdf,1,2023-06-08,0.22,/Users/chenyuang/Desktop/巨潮网资料/2023/688700_东威科技_2023-06-08.pdf,2023
豪江智能,301320,创业板,301320_豪江智能_2023-06-05.pdf,568,2023-06-05,10.01,/Users/chenyuang/Desktop/巨潮网资料/2023/301320_豪江智能_2023-06-05.pdf,2023
威士顿,301315,创业板,301315_威士顿_2023-06-15.pdf,361,2023-06-15,6.69,/Users/chenyuang/Desktop/巨潮网资料/2023/301315_威士顿_2023-06-15.pdf,2023
