sample_id,board,company_short_name,company_full_name,stock_code,source_platform,announcement_date,announcement_title,source_url,local_file,replacement_note
MB001,主板,三联锻造,芜湖三联锻造股份有限公司,001282,巨潮资讯,2023-05-17,首次公开发行股票并在主板上市招股说明书,https://static.cninfo.com.cn/finalpage/2023-05-17/1216830304.PDF,001282_三联锻造_IPO招股说明书.pdf,替换原样本天和磁材；该样本含创业投资基金股东与增资股本变化信息
MB002,主板,友升股份,上海友升铝业股份有限公司,603418,巨潮资讯,2025-09-18,友升股份首次公开发行股票并在主板上市招股说明书,https://static.cninfo.com.cn/finalpage/2025-09-18/1224667002.PDF,603418_友升股份_IPO招股说明书.pdf,保留
GEM001,创业板,黄山谷捷,黄山谷捷股份有限公司,301581,巨潮资讯,2024-12-19,黄山谷捷首次公开发行股票并在创业板上市招股说明书,https://static.cninfo.com.cn/finalpage/2024-12-19/1222066314.PDF,301581_黄山谷捷_IPO招股说明书.pdf,保留
GEM002,创业板,云汉芯城,云汉芯城（上海）互联网科技股份有限公司,301563,巨潮资讯,2025-09-25,云汉芯城首次公开发行股票并在创业板上市招股说明书,https://static.cninfo.com.cn/finalpage/2025-09-25/1224679402.PDF,301563_云汉芯城_IPO招股说明书.pdf,保留
STAR001,科创板,赛分科技,苏州赛分科技股份有限公司,688758,巨潮资讯,2025-01-06,赛分科技首次公开发行股票并在科创板上市招股说明书,https://static.cninfo.com.cn/finalpage/2025-01-06/1222238930.PDF,688758_赛分科技_IPO招股说明书.pdf,保留
STAR002,科创板,影石创新,影石创新科技股份有限公司,688775,巨潮资讯,2025-06-06,影石创新首次公开发行股票并在科创板上市招股说明书,https://static.cninfo.com.cn/finalpage/2025-06-06/1223788474.PDF,688775_影石创新_IPO招股说明书.pdf,保留
BSE001,北交所,三协电机,常州三协电机股份有限公司,920100,北京证券交易所,2025-07-11,常州三协电机股份有限公司招股说明书（申报稿）,https://www.bse.cn/disclosure/2025/2025-07-11/1752226211_504693.pdf,920100_三协电机_IPO招股说明书.pdf,保留
BSE002,北交所,星图测控,中科星图测控技术股份有限公司,920116,北京证券交易所,2024-12-20,中科星图测控技术股份有限公司招股说明书,https://www.bse.cn/disclosure/2024/2024-12-20/1734690128_320590.pdf,920116_星图测控_IPO招股说明书.pdf,替换原样本大鹏工业；该样本含新增股东增资金额与创业投资股东信息
